Member id,SEC,FEH,MT,SEX,AGE,EDU,HS,CHILD,CS,Affluence Index,No. of Brands,Brand Runs,Total Volume,No. of  Trans,Value,Trans / Brand Runs,Vol/Tran,Avg. Price,Pur Vol No Promo - %,Pur Vol Promo 6 %,Pur Vol Other Promo %,"Br. Cd. 57, 144",Br. Cd. 55,Br. Cd. 272,Br. Cd. 286,Br. Cd. 24,Br. Cd. 481,Br. Cd. 352,Br. Cd. 5,Others 999,Pr Cat 1,Pr Cat 2,Pr Cat 3,Pr Cat 4,PropCat 5,PropCat 6,PropCat 7,PropCat 8,PropCat 9,PropCat 10,PropCat 11,PropCat 12,PropCat 13,PropCat 14,PropCat 15
1027750,4,3,10,2,2,1,5,3,1,9,3,13,7475,15,734.50,1.15,498.33,9.83,93%,0%,7%,4%,0%,0%,0%,0%,8%,0%,0%,88.0%,27%,27%,0%,45%,64%,6%,14%,0%,1%,7%,8%,0%,0%,0%,0%
1027810,4,0,0,0,2,0,0,5,0,0,2,2,1050,5,74.00,2.50,210.00,7.05,100%,0%,0%,29%,71%,0%,0%,0%,0%,0%,0%,0.0%,0%,29%,71%,0%,29%,0%,0%,0%,0%,0%,0%,0%,0%,71%,0%
1027840,2,3,5,2,3,1,3,4,2,4,1,1,22050,23,1249.50,23.00,958.70,5.67,100%,0%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0.0%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%
1028020,4,3,16,2,2,4,5,2,0,5,2,3,18600,23,1046.00,7.67,808.70,5.62,95%,0%,5%,0%,94%,0%,0%,0%,0%,0%,0%,6.5%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%
1028050,3,3,16,2,2,1,5,2,1,8,2,24,12475,40,1268.50,1.67,311.88,10.17,85%,13%,2%,0%,6%,0%,0%,0%,0%,0%,0%,94.0%,31%,4%,6%,59%,68%,17%,1%,4%,1%,0%,0%,0%,0%,6%,2%
1028110,4,3,10,2,2,4,3,2,0,2,2,6,4800,24,360.50,4.00,200.00,7.51,96%,4%,0%,0%,0%,0%,0%,0%,0%,8%,0%,91.7%,4%,8%,4%,83%,83%,0%,8%,0%,0%,0%,0%,0%,0%,4%,4%
1028230,4,2,10,2,4,3,4,2,1,10,2,6,10050,24,899.00,4.00,418.75,8.95,100%,0%,0%,0%,3%,0%,0%,0%,0%,0%,0%,97.0%,0%,0%,3%,97%,27%,0%,0%,70%,0%,0%,0%,0%,0%,3%,0%
1030040,4,3,10,2,4,0,6,4,2,11,1,1,15000,23,850.00,23.00,652.17,5.67,100%,0%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0.0%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%
1030150,4,0,0,0,4,0,0,5,0,0,3,8,3325,8,278.50,1.00,415.63,8.38,100%,0%,0%,34%,54%,0%,0%,0%,0%,0%,0%,12.0%,7%,39%,54%,0%,34%,12%,0%,0%,0%,0%,0%,0%,0%,54%,0%
1030200,3,1,4,2,4,1,4,4,2,13,2,11,10325,19,674.25,1.73,543.42,6.53,98%,2%,0%,0%,3%,0%,0%,0%,0%,0%,0%,97.1%,4%,86%,3%,7%,9%,2%,2%,0%,0%,0%,0%,0%,0%,3%,84%
1030280,4,3,10,2,1,1,6,1,2,6,3,10,15400,38,990.00,3.80,405.26,6.43,100%,0%,0%,0%,88%,0%,0%,2%,0%,0%,0%,10.4%,3%,6%,90%,0%,6%,0%,1%,0%,1%,0%,0%,0%,2%,90%,0%
1030300,2,3,16,2,4,1,9,4,1,14,3,6,23500,28,1585.00,4.67,839.29,6.74,92%,0%,8%,0%,89%,0%,0%,0%,0%,0%,4%,6.8%,8%,3%,89%,0%,0%,6%,2%,0%,0%,2%,0%,0%,0%,89%,0%
1034020,4,0,0,0,2,0,0,5,0,0,1,1,900,5,51.00,5.00,180.00,5.67,100%,0%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0.0%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%
1034130,4,1,17,2,4,4,8,3,0,8,2,3,34200,24,2468.00,8.00,1425.00,7.22,100%,0%,0%,2%,0%,0%,0%,0%,0%,0%,0%,98.2%,0%,2%,0%,98%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
1034220,3,3,10,2,4,4,4,4,1,11,5,7,9400,24,1119.50,3.43,391.67,11.91,95%,5%,0%,0%,8%,5%,0%,0%,67%,2%,0%,18.1%,0%,88%,12%,0%,0%,11%,5%,5%,0%,0%,67%,0%,0%,12%,0%
1034350,4,0,0,0,3,0,0,5,0,0,3,7,3925,9,306.00,1.29,436.11,7.80,95%,5%,0%,8%,11%,0%,0%,0%,0%,0%,0%,80.9%,2%,8%,11%,79%,87%,0%,0%,0%,0%,0%,0%,2%,0%,11%,0%
1035020,4,3,10,2,4,1,3,4,1,9,4,15,9800,23,941.00,1.53,426.09,9.60,100%,0%,0%,14%,0%,2%,0%,0%,0%,54%,0%,29.8%,6%,73%,2%,18%,36%,1%,54%,7%,0%,0%,0%,0%,0%,2%,0%
1035100,4,0,0,0,3,0,0,5,0,0,1,1,4950,7,280.50,7.00,707.14,5.67,100%,0%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0.0%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%
1035150,3,1,4,2,4,7,9,2,1,37,5,25,19910,43,2865.50,1.72,463.02,14.39,96%,1%,3%,12%,0%,1%,0%,2%,0%,0%,7%,77.8%,62%,38%,0%,0%,13%,21%,20%,21%,1%,2%,0%,3%,2%,0%,16%
1037050,4,3,10,2,4,1,5,1,2,10,3,4,21150,20,1326.00,5.00,1057.50,6.27,89%,0%,11%,0%,94%,4%,0%,0%,0%,0%,0%,2.1%,0%,4%,94%,2%,2%,0%,0%,4%,0%,0%,0%,0%,0%,94%,0%
1037120,4,1,4,2,2,4,10,3,1,14,3,10,15875,22,1835.00,2.20,721.59,11.56,100%,0%,0%,58%,0%,0%,0%,0%,23%,0%,0%,18.9%,6%,94%,0%,0%,77%,0%,0%,0%,0%,0%,23%,0%,0%,0%,0%
1037190,2,1,4,2,2,1,6,1,1,12,3,12,6825,18,468.00,1.50,379.17,6.86,99%,1%,0%,6%,57%,0%,0%,0%,0%,0%,0%,37.0%,4%,21%,57%,18%,23%,1%,2%,2%,0%,0%,0%,0%,0%,57%,14%
1037220,4,3,17,2,1,4,15,1,1,37,5,33,26375,34,2696.00,1.03,775.74,10.22,80%,19%,1%,14%,3%,3%,0%,0%,0%,1%,0%,80.2%,20%,71%,3%,6%,74%,0%,4%,11%,0%,4%,0%,1%,0%,3%,3%
1037250,3,3,10,2,4,1,4,4,1,7,2,2,16350,23,949.50,11.50,710.87,5.81,100%,0%,0%,0%,98%,0%,0%,0%,0%,0%,0%,1.8%,0%,2%,98%,0%,0%,2%,0%,0%,0%,0%,0%,0%,0%,98%,0%
1037290,4,3,10,2,1,4,9,3,1,16,3,12,18275,31,2225.50,2.58,589.52,12.18,90%,10%,0%,41%,0%,0%,0%,0%,34%,0%,0%,25.3%,6%,89%,0%,5%,61%,0%,0%,0%,0%,0%,34%,5%,0%,0%,0%
1037420,4,3,10,2,4,3,5,4,1,17,3,18,30350,41,2121.50,2.28,740.24,6.99,90%,3%,7%,0%,80%,0%,0%,0%,0%,0%,0%,20.2%,12%,4%,80%,4%,7%,3%,0%,3%,5%,1%,0%,0%,0%,80%,1%
1037630,4,3,6,2,4,5,4,4,1,11,5,24,19000,28,1737.00,1.17,678.57,9.14,100%,0%,0%,4%,9%,7%,0%,0%,0%,2%,0%,77.6%,13%,26%,17%,43%,69%,0%,2%,10%,0%,2%,0%,0%,0%,17%,0%
1037690,3,1,5,2,3,1,5,4,1,10,2,3,24950,25,1425.00,8.33,998.00,5.71,100%,0%,0%,0%,96%,0%,0%,0%,0%,0%,0%,4.4%,0%,0%,99%,1%,1%,4%,0%,0%,0%,0%,0%,0%,0%,96%,0%
1037720,4,1,4,2,4,5,4,4,1,15,4,17,8975,25,867.50,1.47,359.00,9.67,95%,0%,5%,28%,27%,0%,0%,0%,0%,0%,13%,32.9%,13%,54%,33%,0%,28%,37%,0%,0%,0%,0%,0%,0%,0%,33%,2%
1037850,4,3,10,1,4,5,3,4,1,16,6,23,20070,63,1830.85,2.74,318.57,9.12,94%,6%,0%,1%,7%,1%,7%,0%,0%,19%,0%,64.3%,18%,41%,12%,29%,40%,4%,37%,1%,0%,0%,0%,0%,0%,11%,6%
1037890,4,3,15,1,2,4,8,3,1,7,4,19,19950,48,1526.00,2.53,415.63,7.65,97%,0%,3%,5%,80%,0%,0%,0%,0%,0%,5%,10.8%,9%,11%,80%,1%,7%,9%,1%,1%,1%,0%,0%,2%,0%,80%,0%
1037940,4,3,10,2,3,3,5,4,1,13,5,4,20100,29,1210.00,7.25,693.10,6.02,100%,0%,0%,0%,96%,0%,0%,0%,0%,0%,1%,3.7%,1%,4%,96%,0%,0%,1%,4%,0%,0%,0%,0%,0%,0%,96%,0%
1038000,2,3,10,2,4,1,4,4,1,5,3,6,11800,23,1216.00,3.83,513.04,10.31,100%,0%,0%,87%,5%,0%,0%,0%,0%,0%,0%,7.6%,3%,92%,5%,0%,92%,0%,0%,0%,3%,0%,0%,0%,0%,5%,0%
1038080,3,2,10,2,4,4,5,1,1,17,6,28,11625,44,1366.75,1.57,264.20,11.76,100%,0%,0%,11%,8%,0%,3%,0%,10%,1%,0%,66.7%,42%,49%,8%,1%,38%,6%,38%,0%,0%,0%,10%,0%,0%,8%,0%
1038110,4,2,16,2,4,1,2,4,1,6,3,7,10275,27,741.00,3.86,380.56,7.21,100%,0%,0%,0%,85%,0%,0%,0%,0%,0%,2%,13.1%,7%,0%,93%,0%,0%,2%,0%,0%,0%,0%,0%,5%,0%,93%,0%
1040080,4,3,10,2,2,1,10,3,1,10,7,24,23325,50,1876.50,2.08,466.50,8.05,89%,11%,0%,15%,46%,3%,4%,0%,0%,6%,1%,25.9%,3%,51%,46%,0%,31%,3%,6%,4%,0%,0%,0%,0%,0%,46%,10%
1040150,2,3,10,2,4,0,8,2,1,26,5,45,24325,73,2896.00,1.62,333.22,11.91,97%,1%,2%,4%,5%,2%,0%,0%,0%,2%,0%,86.4%,40%,46%,7%,7%,18%,27%,17%,9%,21%,0%,0%,0%,0%,7%,0%
1040190,4,3,10,2,4,1,5,4,2,9,3,7,10475,27,871.50,3.86,387.96,8.32,100%,0%,0%,30%,0%,0%,6%,0%,0%,0%,0%,64.7%,1%,35%,0%,64%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
1040250,4,2,10,2,4,4,6,4,1,15,2,3,14550,22,1439.00,7.33,661.36,9.89,100%,0%,0%,0%,0%,0%,0%,0%,0%,91%,0%,8.6%,0%,93%,7%,0%,0%,0%,93%,0%,0%,0%,0%,0%,0%,7%,0%
1040340,4,3,10,2,4,4,2,4,0,4,4,16,9150,27,949.00,1.69,338.89,10.37,98%,2%,0%,56%,15%,3%,0%,0%,0%,0%,0%,26.2%,11%,67%,15%,7%,67%,0%,0%,14%,3%,0%,0%,0%,0%,15%,1%
1040370,3,1,4,2,4,2,5,2,1,13,4,26,12050,39,1030.25,1.50,308.97,8.55,86%,6%,8%,0%,1%,2%,0%,0%,7%,0%,0%,89.4%,4%,22%,23%,51%,49%,22%,4%,14%,2%,0%,7%,0%,0%,1%,0%
1044010,4,3,10,2,4,1,4,4,0,2,2,5,12925,25,764.50,5.00,517.00,5.91,95%,0%,5%,0%,87%,0%,0%,0%,0%,0%,0%,13.0%,1%,3%,96%,0%,3%,0%,0%,0%,0%,0%,0%,1%,0%,96%,0%
1044140,4,1,4,2,3,4,5,4,1,7,3,12,5600,17,640.50,1.42,329.41,11.44,73%,4%,23%,30%,13%,0%,0%,0%,0%,0%,0%,56.3%,23%,46%,13%,18%,87%,0%,0%,0%,0%,0%,0%,0%,0%,13%,0%
1044370,4,3,10,1,1,1,6,4,2,8,4,16,14850,32,1146.50,2.00,464.06,7.72,100%,0%,0%,5%,33%,0%,15%,0%,0%,0%,0%,46.5%,3%,30%,37%,30%,57%,6%,0%,0%,0%,0%,0%,0%,0%,37%,0%
1045030,1,1,10,2,2,5,4,1,1,19,3,19,4650,25,619.00,1.32,186.00,13.31,89%,10%,2%,25%,0%,0%,0%,0%,0%,0%,3%,72.0%,46%,54%,0%,0%,40%,31%,19%,0%,0%,10%,0%,0%,0%,0%,0%
1045060,4,3,10,2,4,1,2,2,0,1,3,6,2750,9,213.50,1.50,305.56,7.76,100%,0%,0%,0%,33%,3%,0%,0%,0%,0%,0%,64.5%,3%,65%,33%,0%,0%,3%,0%,3%,0%,0%,0%,0%,0%,33%,62%
1045100,4,1,5,2,3,1,3,4,0,2,3,5,8250,26,573.50,5.20,317.31,6.95,95%,0%,5%,19%,75%,0%,0%,0%,0%,0%,0%,6.1%,1%,24%,75%,0%,24%,0%,0%,0%,1%,0%,0%,0%,0%,75%,0%
1045120,3,3,10,2,4,5,6,1,1,22,3,17,21400,32,2648.00,1.88,668.75,12.37,98%,2%,0%,0%,8%,0%,2%,0%,0%,0%,0%,89.7%,6%,61%,8%,24%,29%,56%,1%,0%,0%,0%,0%,5%,0%,8%,0%
1047210,4,3,10,2,4,1,3,4,2,12,3,7,6825,25,515.50,3.57,273.00,7.55,100%,0%,0%,13%,22%,0%,0%,0%,0%,0%,0%,64.8%,1%,15%,22%,62%,77%,0%,0%,0%,0%,0%,0%,1%,0%,22%,0%
1047220,3,3,10,2,4,1,4,1,1,6,3,4,6525,23,799.50,5.75,283.70,12.25,100%,0%,0%,0%,9%,0%,0%,0%,5%,0%,0%,86.2%,0%,91%,9%,0%,0%,86%,0%,0%,0%,0%,5%,0%,0%,9%,0%
1047350,4,3,10,2,4,1,8,4,1,13,8,23,26250,65,2340.00,2.83,403.85,8.91,100%,0%,0%,19%,49%,1%,0%,7%,2%,1%,1%,21.1%,10%,32%,57%,1%,24%,4%,1%,2%,1%,0%,2%,0%,7%,57%,2%
1047420,2,3,10,2,4,0,3,4,1,2,2,2,14350,25,818.50,12.50,574.00,5.70,96%,0%,4%,0%,99%,0%,0%,0%,0%,0%,0%,0.7%,1%,0%,99%,0%,0%,0%,0%,0%,1%,0%,0%,0%,0%,99%,0%
1047610,4,3,8,2,4,3,2,4,0,11,3,15,7125,33,1196.00,2.20,215.91,16.79,79%,0%,21%,1%,0%,0%,0%,0%,0%,0%,8%,90.2%,92%,7%,0%,1%,5%,91%,0%,1%,0%,0%,0%,0%,0%,0%,3%
1047650,4,0,0,0,3,0,0,5,0,0,2,4,1050,4,111.00,1.00,262.50,10.57,50%,0%,50%,29%,0%,0%,0%,0%,0%,0%,0%,71.4%,21%,79%,0%,0%,79%,0%,21%,0%,0%,0%,0%,0%,0%,0%,0%
1047750,4,3,10,2,3,5,8,2,1,19,5,16,19650,46,1874.25,2.88,427.17,9.54,100%,0%,0%,42%,25%,0%,7%,0%,5%,0%,0%,21.9%,3%,69%,26%,2%,66%,2%,0%,0%,0%,0%,6%,0%,0%,26%,0%
1047760,3,3,9,2,4,1,4,4,1,16,2,13,11450,24,1100.50,1.85,477.08,9.61,74%,26%,0%,0%,0%,8%,0%,0%,0%,0%,0%,92.1%,2%,36%,0%,62%,63%,0%,0%,28%,2%,0%,0%,1%,0%,0%,7%
1047870,4,3,10,2,4,1,6,4,1,22,4,13,29350,35,3070.50,2.69,838.57,10.46,84%,0%,16%,72%,2%,0%,0%,0%,0%,4%,0%,22.3%,0%,97%,2%,0%,93%,0%,5%,0%,0%,0%,0%,0%,0%,2%,0%
1047980,3,0,0,0,4,0,0,5,0,0,1,1,150,1,37.00,1.00,150.00,24.67,100%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0.0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%
1050050,4,3,10,2,3,3,6,4,1,19,4,10,15950,27,1031.50,2.70,590.74,6.47,86%,2%,12%,2%,79%,0%,0%,0%,0%,0%,0%,18.7%,0%,14%,79%,7%,14%,4%,2%,0%,0%,0%,0%,0%,0%,79%,0%
1050210,2,1,15,2,4,5,3,4,1,15,6,20,10625,44,2190.00,2.20,241.48,20.61,100%,0%,0%,7%,0%,0%,3%,32%,1%,0%,4%,53.2%,84%,16%,0%,0%,11%,14%,8%,0%,6%,1%,1%,0%,58%,0%,0%
1054110,3,3,17,2,2,4,8,2,2,14,4,20,25400,40,1950.50,2.00,635.00,7.68,94%,6%,0%,19%,37%,0%,0%,0%,0%,2%,0%,41.9%,0%,42%,37%,21%,59%,1%,2%,0%,0%,0%,0%,0%,0%,37%,0%
1054270,4,3,10,2,2,4,2,4,2,5,2,5,9000,30,579.50,6.00,300.00,6.44,100%,0%,0%,0%,90%,0%,0%,0%,0%,0%,0%,10.0%,10%,0%,90%,0%,0%,0%,3%,0%,7%,0%,0%,0%,0%,90%,0%
1054310,3,3,10,2,4,4,3,4,1,13,4,17,9300,31,1477.50,1.82,300.00,15.89,100%,0%,0%,4%,0%,2%,0%,0%,0%,0%,10%,83.6%,70%,30%,0%,0%,5%,91%,0%,2%,0%,1%,0%,0%,0%,0%,0%
1055060,4,3,10,2,2,5,2,4,1,18,5,24,10550,48,1498.00,2.00,219.79,14.20,97%,0%,3%,13%,0%,1%,0%,3%,0%,0%,6%,76.8%,22%,76%,0%,1%,23%,62%,0%,1%,0%,0%,0%,7%,3%,0%,4%
1055160,4,3,10,2,2,5,6,3,1,17,5,20,13075,45,1435.50,2.25,290.56,10.98,93%,5%,2%,4%,0%,0%,2%,0%,0%,35%,1%,57.6%,9%,77%,2%,13%,19%,39%,40%,0%,0%,0%,0%,0%,0%,2%,0%
1055260,4,3,10,2,2,4,7,3,2,5,3,5,20125,25,1216.00,5.00,805.00,6.04,100%,0%,0%,0%,93%,0%,0%,0%,0%,0%,0%,6.5%,1%,6%,93%,0%,0%,6%,0%,0%,0%,0%,0%,0%,0%,93%,0%
1055330,3,3,10,2,2,6,5,2,1,6,8,32,12300,57,1367.50,1.78,215.79,11.12,100%,0%,0%,31%,0%,1%,27%,1%,1%,6%,1%,33.5%,5%,91%,2%,2%,69%,20%,6%,3%,0%,0%,1%,0%,1%,0%,0%
1057150,4,3,10,2,4,1,8,2,2,7,2,4,5375,10,388.50,2.50,537.50,7.23,96%,0%,4%,0%,67%,0%,0%,0%,0%,0%,0%,33.0%,9%,14%,77%,0%,0%,14%,0%,0%,9%,0%,0%,0%,0%,77%,0%
1057280,2,3,10,2,3,5,4,4,1,40,2,10,11300,34,1166.50,3.40,332.35,10.32,97%,0%,3%,0%,0%,0%,0%,0%,0%,76%,0%,23.9%,9%,91%,0%,0%,5%,0%,85%,3%,5%,0%,0%,0%,0%,0%,1%
